# Limits on good SNR for different dec. and freq., and excluding Galactic plane.
# CENTRE_DEC FREQ_median RA1 RA2 DEC1 DEC2
-27 1 0 70 -35 -3.5
-27 2 0 70 -35 -5.5
-27 3 0 70 -35 -10.5
-27 4 0 70 -35 -12.5
-27 5 0 70 -35 -15
-26.7 1 0 70 -35 -3.5
-26.7 2 0 70 -35 -5.5
-26.7 3 0 70 -35 -10.5
-26.7 4 0 70 -35 -12.5
-26.7 5 0 70 -35 -15
-26 1 0 70 -35 -3.5
-26 2 0 70 -35 -5.5
-26 3 0 70 -35 -10.5
-26 4 0 70 -35 -12.5
-26 5 0 70 -35 -15
-13.0 1 315 60 -40 14
-13.0 2 315 60 -35 10
-13.0 3 315 60 -30 5.5
-13.0 4 315 60 -27.5 2.5
-13.0 5 315 60 -24 -1
1 1 0 70 -27 28
1 2 0 70 -22 23.5
1 3 0 70 -16.5 20
1 4 0 70 -13.5 17.5
1 5 0 70 -11 15
1.6 1 0 70 -27 28
1.6 2 0 70 -22 23.5
1.6 3 0 70 -16.5 20
1.6 4 0 70 -13.5 17.5
1.6 5 0 70 -11 15
2 1 0 70 -27 28
2 2 0 70 -22 23.5
2 3 0 70 -16.5 20
2 4 0 70 -13.5 17.5
2 5 0 70 -11 15
18 1 0 70 -8.5 35
18 2 0 70 -6 34
18 3 0 70 -0.5 32
18 4 0 70 2 31
18 5 0 70 4.5 30
18.6 1 0 70 -8.5 35
18.6 2 0 70 -6 34
18.6 3 0 70 -0.5 32
18.6 4 0 70 2 31
18.6 5 0 70 4.5 30
19 1 0 70 -8.5 35
19 2 0 70 -6 34
19 3 0 70 -0.5 32
19 4 0 70 2 31
19 5 0 70 4.5 30
