# kaplan@pulsar:~/mwa/MandC$ psql -h mwa.mit.edu -U mwa 
# mwa=> select * from grid_points;
# retrieved 2012-05-02 by D Kaplan
#name  | number | azimuth  | elevation |   sigma    |                     delays                     
#------+--------+----------+-----------+------------+------------------------------------------------
 sweet |      0 |        0 |        90 |          0 | {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
 sweet |      1 |        0 |   83.1912 | 1.2192e-08 | {3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0}
 sweet |      2 |       90 |   83.1912 | 1.2192e-08 | {0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3}
 sweet |      3 |      180 |   83.1912 | 1.2192e-08 | {0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3}
 sweet |      4 |      270 |   83.1912 | 1.2192e-08 | {3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0}
 sweet |      5 |       45 |    80.348 | 1.7243e-08 | {3,4,5,6,2,3,4,5,1,2,3,4,0,1,2,3}
 sweet |      6 |      135 |    80.348 | 1.7243e-08 | {0,1,2,3,1,2,3,4,2,3,4,5,3,4,5,6}
 sweet |      7 |      225 |    80.348 | 1.7243e-08 | {3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3}
 sweet |      8 |      315 |    80.348 | 1.7243e-08 | {6,5,4,3,5,4,3,2,4,3,2,1,3,2,1,0}
 sweet |      9 |        0 |   76.2838 | 2.4385e-08 | {6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0}
 sweet |     10 |       90 |   76.2838 | 2.4385e-08 | {0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6}
 sweet |     11 |      180 |   76.2838 | 2.4385e-08 | {0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6}
 sweet |     12 |      270 |   76.2838 | 2.4385e-08 | {6,4,2,0,6,4,2,0,6,4,2,0,6,4,2,0}
 sweet |     13 |  26.5651 |   74.6271 | 2.7263e-08 | {6,7,8,9,4,5,6,7,2,3,4,5,0,1,2,3}
 sweet |     14 |  63.4349 |   74.6271 | 2.7263e-08 | {3,5,7,9,2,4,6,8,1,3,5,7,0,2,4,6}
 sweet |     15 | 116.5651 |   74.6271 | 2.7263e-08 | {0,2,4,6,1,3,5,7,2,4,6,8,3,5,7,9}
 sweet |     16 | 153.4349 |   74.6271 | 2.7263e-08 | {0,1,2,3,2,3,4,5,4,5,6,7,6,7,8,9}
 sweet |     17 | 206.5651 |   74.6271 | 2.7263e-08 | {3,2,1,0,5,4,3,2,7,6,5,4,9,8,7,6}
 sweet |     18 | 243.4349 |   74.6271 | 2.7263e-08 | {6,4,2,0,7,5,3,1,8,6,4,2,9,7,5,3}
 sweet |     19 | 296.5651 |   74.6271 | 2.7263e-08 | {9,7,5,3,8,6,4,2,7,5,3,1,6,4,2,0}
 sweet |     20 | 333.4349 |   74.6271 | 2.7263e-08 | {9,8,7,6,7,6,5,4,5,4,3,2,3,2,1,0}
 sweet |     21 |       45 |   70.4075 | 3.4485e-08 | {6,8,10,12,4,6,8,10,2,4,6,8,0,2,4,6}
 sweet |     22 |      135 |   70.4075 | 3.4485e-08 | {0,2,4,6,2,4,6,8,4,6,8,10,6,8,10,12}
 sweet |     23 |      225 |   70.4075 | 3.4485e-08 | {6,4,2,0,8,6,4,2,10,8,6,4,12,10,8,6}
 sweet |     24 |      315 |   70.4075 | 3.4485e-08 | {12,10,8,6,10,8,6,4,8,6,4,2,6,4,2,0}
 sweet |     25 |        0 |   69.1655 | 3.6577e-08 | {9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0}
 sweet |     26 |       90 |   69.1655 | 3.6577e-08 | {0,3,6,9,0,3,6,9,0,3,6,9,0,3,6,9}
 sweet |     27 |      180 |   69.1655 | 3.6577e-08 | {0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9}
 sweet |     28 |      270 |   69.1655 | 3.6577e-08 | {9,6,3,0,9,6,3,0,9,6,3,0,9,6,3,0}
 sweet |     29 |  18.4349 |   67.9813 | 3.8556e-08 | {9,10,11,12,6,7,8,9,3,4,5,6,0,1,2,3}
 sweet |     30 |  71.5651 |   67.9813 | 3.8556e-08 | {3,6,9,12,2,5,8,11,1,4,7,10,0,3,6,9}
 sweet |     31 | 108.4349 |   67.9813 | 3.8556e-08 | {0,3,6,9,1,4,7,10,2,5,8,11,3,6,9,12}
 sweet |     32 | 161.5651 |   67.9813 | 3.8556e-08 | {0,1,2,3,3,4,5,6,6,7,8,9,9,10,11,12}
 sweet |     33 | 198.4349 |   67.9813 | 3.8556e-08 | {3,2,1,0,6,5,4,3,9,8,7,6,12,11,10,9}
 sweet |     34 | 251.5651 |   67.9813 | 3.8556e-08 | {9,6,3,0,10,7,4,1,11,8,5,2,12,9,6,3}
 sweet |     35 | 288.4349 |   67.9813 | 3.8556e-08 | {12,9,6,3,11,8,5,2,10,7,4,1,9,6,3,0}
 sweet |     36 | 341.5651 |   67.9813 | 3.8556e-08 | {12,11,10,9,9,8,7,6,6,5,4,3,3,2,1,0}
 sweet |     37 |  33.6901 |   64.6934 |  4.396e-08 | {9,11,13,15,6,8,10,12,3,5,7,9,0,2,4,6}
 sweet |     38 |  56.3099 |   64.6934 |  4.396e-08 | {6,9,12,15,4,7,10,13,2,5,8,11,0,3,6,9}
 sweet |     39 | 123.6901 |   64.6934 |  4.396e-08 | {0,3,6,9,2,5,8,11,4,7,10,13,6,9,12,15}
 sweet |     40 | 146.3099 |   64.6934 |  4.396e-08 | {0,2,4,6,3,5,7,9,6,8,10,12,9,11,13,15}
 sweet |     41 | 213.6901 |   64.6934 |  4.396e-08 | {6,4,2,0,9,7,5,3,12,10,8,6,15,13,11,9}
 sweet |     42 | 236.3099 |   64.6934 |  4.396e-08 | {9,6,3,0,11,8,5,2,13,10,7,4,15,12,9,6}
 sweet |     43 | 303.6901 |   64.6934 |  4.396e-08 | {15,12,9,6,13,10,7,4,11,8,5,2,9,6,3,0}
 sweet |     44 | 326.3099 |   64.6934 |  4.396e-08 | {15,13,11,9,12,10,8,6,9,7,5,3,6,4,2,0}
 sweet |     45 |        0 |    61.691 | 4.8769e-08 | {12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0}
 sweet |     46 |       90 |    61.691 | 4.8769e-08 | {0,4,8,12,0,4,8,12,0,4,8,12,0,4,8,12}
 sweet |     47 |      180 |    61.691 | 4.8769e-08 | {0,0,0,0,4,4,4,4,8,8,8,8,12,12,12,12}
 sweet |     48 |      270 |    61.691 | 4.8769e-08 | {12,8,4,0,12,8,4,0,12,8,4,0,12,8,4,0}
 sweet |     49 |  14.0362 |   60.7369 |  5.027e-08 | {12,13,14,15,8,9,10,11,4,5,6,7,0,1,2,3}
 sweet |     50 |  75.9638 |   60.7369 |  5.027e-08 | {3,7,11,15,2,6,10,14,1,5,9,13,0,4,8,12}
 sweet |     51 | 104.0362 |   60.7369 |  5.027e-08 | {0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15}
 sweet |     52 | 165.9638 |   60.7369 |  5.027e-08 | {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
 sweet |     53 | 194.0362 |   60.7369 |  5.027e-08 | {3,2,1,0,7,6,5,4,11,10,9,8,15,14,13,12}
